,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
6429,568265091226800130,negative,0.924,Late Flight,0.4904,American,negative,beaubertke,Late Flight,0,"@AmericanAir Okay, I think 1565 has waited long enough for a gate at DFW...",,2015-02-18 20:25:30-08:00,Texas,Central Time (US & Canada)
5342,569628145030004736,negative,1.0,Cancelled Flight,0.3606,US Airways,,jph_sc,,0,@USAirways why the hell will you not put us in a hotel when you've stranded us. Your message says mechanical issues not weather. #usairways,,2015-02-22 14:41:47-08:00,"Charleston, SC",Eastern Time (US & Canada)
4198,569320520728113152,positive,1.0,,,Delta,,laacyyy,,0,@JetBlue thanks so much. Can't wait to fly with you guys :),,2015-02-21 18:19:24-08:00,New Jersey,Quito
3319,568149878095753216,neutral,0.6545,,0.0,Southwest,,Brian_Fox,,0,@SouthwestAir I would but you need to follow me first ;-),,2015-02-18 12:47:41-08:00,"NH, United States",Eastern Time (US & Canada)
1630,568770352635121664,negative,1.0,Late Flight,0.6675,United,,globalnearshore,,0,"@United flight 4465 almost half an hour at the Tarmac ""waiting for papers""... Cannot miss my connection at IAH !",,2015-02-20 05:53:13-08:00,"Off: NYC, Home: Hoboken, NJ",Eastern Time (US & Canada)
5888,568650058780041216,negative,1.0,Customer Service Issue,1.0,US Airways,,lj_verde,,0,"@USAirways never flying #USAirways again. Horrible experience, terrible customer service.",,2015-02-19 21:55:13-08:00,DC,Eastern Time (US & Canada)
931,569608866138173440,negative,0.6545,Bad Flight,0.3335,United,,timdrewitt,,0,@United Personal Device Entertainment system is great but with app crashing every 10/15 mins I'm glad it's free for now.,,2015-02-22 13:25:11-08:00,Aylesbury United Kingdom,London
2760,569285269981167616,negative,1.0,Lost Luggage,1.0,Southwest,,JeremyLittau,,0,@SouthwestAir My wife needs help. She is stranded in Chicago and can't get out until Monday. They won't find her bag because volume too high,,2015-02-21 15:59:19-08:00,"Lehigh Valley, PA",Eastern Time (US & Canada)
4179,569366479008862208,negative,1.0,Late Flight,1.0,Delta,,DestineMedia,,0,@JetBlue @dgruber1700  oh wow and I'm complaining about two hour on the run way shucks JetBlue NOT GOOD your service was better than this,,2015-02-21 21:22:01-08:00,BB PIN:28AF78F4,Eastern Time (US & Canada)
8,570285904809598977,positive,1.0,,,Virgin America,,sjespers,,0,@VirginAmerica Thanks!,,2015-02-24 10:15:29-08:00,"San Francisco, CA",Pacific Time (US & Canada)
2425,570206560439308289,neutral,1.0,,,Southwest,,Sez_Nez,,0,@SouthwestAir I was not the one traveling. I was asking for my sister who was waiting on my nephew in Midland...flight eventually landed,,2015-02-24 05:00:12-08:00,DFW,Central Time (US & Canada)
533,569989291188695040,negative,1.0,Flight Attendant Complaints,0.7067,United,,colbycaterina,,0,@united i need it there before she lands so she can have the EWR baggage claim file to have it sent but the employee has not droppeditoffyet,,2015-02-23 14:36:51-08:00,lalaland,Eastern Time (US & Canada)
3940,569888159707738113,neutral,1.0,,,Delta,,maite_rodrgz,,0,@JetBlue hello! my husband bought us a trip last night &amp; just noticed my last name is misspelled! What can I do? Thanks!,,2015-02-23 07:54:59-08:00,Puerto Rico,Hawaii
3530,567788514952368129,positive,1.0,,,Southwest,,andersonmindy,,0,@SouthwestAir Thank you for the vouchers after the long wait on the runway Saturday night at BWI! I really appreciate it! #SWfan,"[38.98057249, -76.73463232]",2015-02-17 12:51:45-08:00,East Coast,Atlantic Time (Canada)
7242,569739141635817472,negative,1.0,Late Flight,1.0,American,,janetmcq,,0,@AmericanAir Flight 4606 from MEM to DCA delayed 6 hours! Now holding breath while they keep me trapped 3 hours to de-ice. #scareair,,2015-02-22 22:02:51-08:00,"Memphis, TN",Central Time (US & Canada)
5018,570091270334509056,negative,1.0,Lost Luggage,1.0,US Airways,,StretfordGoose,,0,@USAirways Hi. I'm in LGA but my luggage is in CLT. Have been told to come back tomorrow to collect. Do you guys want to cover my taxi fare?,,2015-02-23 21:22:05-08:00,"Porkhampton, England",London
1163,569310115377102850,negative,1.0,Customer Service Issue,0.6714,United,,aaron_lawlor,,1,"@united #customerservice at @Dulles_Airport could not be worse. I get the bad weather, but this is awful.",,2015-02-21 17:38:03-08:00,"Vernon Hills, IL",Central Time (US & Canada)
1244,569236834783342593,negative,1.0,Cancelled Flight,1.0,United,,AngelikaGiatras,,0,@united flight just Cancelled Flightled. This is ridiculous,,2015-02-21 12:46:51-08:00,"Chicago, IL",Eastern Time (US & Canada)
239,568457140894969856,negative,1.0,Late Flight,1.0,Virgin America,,LondonBrushCo,,0,@VirginAmerica delayed to10.30!!,,2015-02-19 09:08:38-08:00,Global,Pacific Time (US & Canada)
7262,569720605383241728,negative,1.0,Customer Service Issue,1.0,American,,sarrraright,,0,"@AmericanAir I have ""continued contacting"" your phone reps for 7 hours and am still unable to get through. That's absurd and I am livid.",,2015-02-22 20:49:11-08:00,Cathedral Heights,Eastern Time (US & Canada)
6029,568251315220041728,negative,1.0,Late Flight,0.6832,US Airways,,Hannah01486019,,0,"@USAirways sitting for 30 minutes on the runway at dca, because your gates are full? Early landing, Late Flight flight.",,2015-02-18 19:30:45-08:00,"Washington, DC",Eastern Time (US & Canada)
5995,568456310972424192,neutral,0.6808,,0.0,US Airways,,kim_blake,,0,@USAirways flight was full.  1 open middle seat.  Did not want to sit there.  What is your policy?,,2015-02-19 09:05:20-08:00,Tacoma Washington,Pacific Time (US & Canada)
436,570091216013955073,negative,1.0,Lost Luggage,1.0,United,,ajpape,,1,@united Lost bag process is broken. Agent promised they'd call &amp; hold my bag when found. Now they're waking me at 3am w/ delivery. #fail,,2015-02-23 21:21:52-08:00,"Boulder, CO",Mountain Time (US & Canada)
5452,569539560910282752,negative,1.0,Flight Booking Problems,0.703,US Airways,,sfoosness,,0,@USAirways No one answers your reservation phone line. I need to book travel with a  companion certificate. How do I get through?!!!,,2015-02-22 08:49:47-08:00,"Durham, NC",Atlantic Time (Canada)
1575,568826215089475584,negative,1.0,Customer Service Issue,1.0,United,,dlm_3,,1,@united that may be true however after 4 weeks matter is still unresolved and I can not get through to a supervisor or manager to help,,2015-02-20 09:35:12-08:00,Global,Eastern Time (US & Canada)
594,569938322161668096,negative,0.6671,Can't Tell,0.3651,United,,Austin_Grisham,,0,@united don't see a justifiable cost to get on an early flight with seats. No airline charges to conveniently get their passengers in early,,2015-02-23 11:14:19-08:00,PDX,Alaska
7187,569827608193585152,negative,1.0,Cancelled Flight,1.0,American,,justinvanbogart,,0,@AmericanAir - cruel &amp; unusual to Cancelled Flight flight w/o notice &amp; make someone stay on hold for 30min &amp; listen to the same ad in a loop,,2015-02-23 03:54:23-08:00,"Charleston, SC",Eastern Time (US & Canada)
705,569863714704220160,negative,0.6466,Late Flight,0.342,United,,ScottHRoth,,0,@united flight 433 lets go you look like clowns no one is giving up 1st class for $500,,2015-02-23 06:17:51-08:00,"Needham, MA",Eastern Time (US & Canada)
751,569807000927920128,positive,1.0,,,United,,Bridget__Walsh,,0,"@united hi JP, with the help of an awesome TSA representative, I was able to get it all taken care of. Thank you!",,2015-02-23 02:32:30-08:00,"Cleveland, Ohio",Atlantic Time (Canada)
4463,568735841771597825,neutral,1.0,,,Delta,,JetBlueNews,,0,@JetBlue and The from @WSJ Team to Offer In-#Flight Access to Journal ... - Broadway World http://t.co/AsYqE1tDjp,,2015-02-20 03:36:05-08:00,USA,Sydney
5564,569386397683073024,negative,1.0,Late Flight,1.0,US Airways,,miffSC,,0,@USAirways Are you guys awake? Need help with delayed flight to get protected on Late Flightr flight from PHL.,,2015-02-21 22:41:10-08:00,http://about.me/miffsc,Eastern Time (US & Canada)
4251,569229142597771265,negative,0.6591,Can't Tell,0.6591,Delta,,BernardLeCroix,,0,"@JetBlue it seems I never received an ID, just a password.",,2015-02-21 12:16:18-08:00,"Providence, RI",Eastern Time (US & Canada)
250,568364437599436800,neutral,1.0,,,Virgin America,,DOHA_Insight,,0,@VirginAmerica Atlantic ploughs a lone furrow in the #MiddleEast http://t.co/FVUdmh27pF @TheNationalUAE,,2015-02-19 03:00:16-08:00,"Doha, Qatar",Quito
7063,569901314026692611,negative,1.0,Customer Service Issue,0.66,American,,youmaythinkso,,0,@AmericanAir @_Lucy_May surely much better to let us all share the feedback unless you have something to hide?,,2015-02-23 08:47:16-08:00,Portsmouth UK,London
272,568088472772157440,neutral,1.0,,,Virgin America,,AlMehairiAUH,,0,@VirginAmerica to start 5xweekly #A319 flights from to #Dallas @DallasLoveField #Austin on 28APR #avgeek,,2015-02-18 08:43:41-08:00,Abu Dhabi,Abu Dhabi
3439,567907935331971072,positive,0.685,,,Southwest,,Georga46,,0,@SouthwestAir you are the #Official airlines of #DivadaPouch aka #ThePoopQueen http://t.co/XXY2d2iMnP,,2015-02-17 20:46:17-08:00,"Clover, SC",Eastern Time (US & Canada)
4524,568546837231042560,neutral,1.0,,,Delta,,JetBlueNews,,0,@JetBlue Has D.C. Thinking About Summer With New Nantucket Service - Digital Journal http://t.co/urcyfcp2Lx,,2015-02-19 15:05:03-08:00,USA,Sydney
2608,569674930842775552,positive,1.0,,,Southwest,,briandotcom,,0,@SouthwestAir I changed my flight through St. Louis. Thanks for the reply though!,,2015-02-22 17:47:42-08:00,UTSA '13,Central Time (US & Canada)
2000,568166403246850050,negative,1.0,Customer Service Issue,0.6639,United,,JTMacrizzle,,0,"I will, if you can show me where this new program is beneficial to your longstanding loyal consumers... @united","[0.0, 0.0]",2015-02-18 13:53:21-08:00,"Arlington, VA",Quito
4031,569634891857600514,neutral,1.0,,,Delta,,thatjonparsons,,0,@jetblue the man with the smell left nd now there's this stupid girl asking me questions. can yall help.,,2015-02-22 15:08:36-08:00,massachusetts yall~~~~~~~簡単に行く,Atlantic Time (Canada)
4639,568240338164252672,negative,1.0,Bad Flight,0.6523,Delta,,Tostie,,0,@JetBlue What happened w/#19 from BOS-SAN? My mother is onboard &amp; the crew was evasive as to why they had to return to BOS the first time.,,2015-02-18 18:47:08-08:00,"Waltham, MA",Eastern Time (US & Canada)
2574,569716065741045760,negative,1.0,Flight Attendant Complaints,0.6568,Southwest,,wittmania,,0,@SouthwestAir broke the stroller my wife and baby gate checked. They told her it's not their problem. Calling the A List Preferred line now.,,2015-02-22 20:31:09-08:00,"Lincoln, NE",Central Time (US & Canada)
5366,569610893052518400,negative,1.0,Customer Service Issue,0.7055,US Airways,,AuroraBIZ,,0,@USAirways spoke with your reps in NH and PA. Very poor communications. Bags still sitting in Philly. TRAIN YOUR STAFF,,2015-02-22 13:33:14-08:00,"Boston, MA",Eastern Time (US & Canada)
3848,569939932191559680,neutral,0.3505,,0.0,Delta,,LonSoCal,,0,@JetBlue lol the fleet on fleek... i see yall ballin... new jets on deck..,,2015-02-23 11:20:43-08:00, Tally,Eastern Time (US & Canada)
1651,568696518665998336,negative,1.0,Customer Service Issue,0.6808,United,,newyorkwool,,0,@united they have access to the dial that makes it faster do they?,,2015-02-20 00:59:50-08:00,Birkenhead upon Hudson,Eastern Time (US & Canada)
2369,570275218515726337,negative,1.0,Customer Service Issue,1.0,Southwest,,NecroticDoctor,,0,@SouthwestAir My first call got dropped. Waited 15 mins for the second but ran out of time. Will try again Late Flightr. No way to do this online?,,2015-02-24 09:33:01-08:00,Trapped in Baltimore.,Atlantic Time (Canada)
2226,567806898549051392,negative,1.0,Cancelled Flight,0.6442,United,,CanadianCowgirl,,0,@united yes still need assistance I don't have a flight home due to change in flight u made I miss all connections !,,2015-02-17 14:04:48-08:00,Nova Scotia,Eastern Time (US & Canada)
4024,569645522363011072,neutral,1.0,,,Delta,,GinaMarie_F,,0,@JetBlue Is that a guarantee? We'll see about that tomorrow morning when I have to fight for a seat.,"[40.61883222, -74.015404]",2015-02-22 15:50:50-08:00,Brooklyn =),Eastern Time (US & Canada)
914,569618317440208896,negative,1.0,Can't Tell,0.7065,United,,segallsays,,0,@united is the stingiest airline. Nobody should model after them. #PTFO #cheap #bastards #stingy,"[47.4389994, -122.3010208]",2015-02-22 14:02:44-08:00,"Houston, TX",America/Chicago
3380,568082656413552640,negative,0.6476,Lost Luggage,0.6476,Southwest,,JohnGillenwater,,0,@SouthwestAir after a long wait of over an hour my mother's bag did not make it. We filed a report and are waiting. Thanks for your help,,2015-02-18 08:20:34-08:00,Richmond and Virginia Beach,Eastern Time (US & Canada)
480,570050268588597248,negative,0.6847,Lost Luggage,0.6847,United,,MommyPR,,0,@united can you tell me how to file a claim for clothing that had to be purchased?,,2015-02-23 18:39:09-08:00,Global,Pacific Time (US & Canada)
5598,569343970360348672,negative,1.0,Customer Service Issue,0.6916,US Airways,,realmattberry,,0,@USAirways @AmericanAir how do I get thru on hold over 3 hours ?,,2015-02-21 19:52:35-08:00,NYC,Eastern Time (US & Canada)
5591,569352324700708864,negative,0.6331,Cancelled Flight,0.3465,US Airways,,dailylaurel,,0,@USAirways no more hotel voucher? Everyone had to get one but not me...what do I do? Arrived from Amsterdam #SnowStorm,,2015-02-21 20:25:46-08:00,Bruxelle-Paris-Marseille-(BPM),Athens
2088,568063784318832640,negative,1.0,Late Flight,1.0,United,,jabbs7,,0,"@united UA6255 delayed out of #winnipeg because the plane was ""frozen""! #fail Will I make my connection on UA1059? #tightconnection #Denver",,2015-02-18 07:05:34-08:00,Founder @catapultgrp @ilikeoi,Central Time (US & Canada)
4643,568231725970505728,positive,0.7077,,,Delta,,mvfilmfestival,,0,"@JetBlue The 13th Annual Martha's Vineyard African American Film Festival  August 10-15, 2015   Our attendees deserve a great flight to MV??",,2015-02-18 18:12:55-08:00,New York,Eastern Time (US & Canada)
653,569905124723675136,neutral,1.0,,,United,,BossDDS,,0,@united #UnitedAirlines Any other way ORD to ABQ anytime within the next 7 hours?,,2015-02-23 09:02:24-08:00,"North Suburbs, IL  (Chicago)",Central Time (US & Canada)
1736,568558728263254017,negative,1.0,Can't Tell,0.6559,United,,cheryllynnregan,,0,"@united  Your survey is too long.  I fly a lot of segments and I'll fill it out after every trip, but not if it takes more than a minute.",,2015-02-19 15:52:18-08:00,USA,Eastern Time (US & Canada)
3122,568573661378174976,positive,1.0,,,Southwest,,CWiesmore,,0,"@SouthwestAir have to be honest, didn't expect a fast response, thank you!  Off to #Chiberia we go!","[36.0931536, -86.6973554]",2015-02-19 16:51:39-08:00,Chicago,Central Time (US & Canada)
5115,569961070519050240,negative,1.0,Late Flight,1.0,US Airways,,Jabis4,,0,@USAirways 1-2! Rock hit the plane! In a delay now! Never an easy day with US Airways! Ya never fail to let me down!,,2015-02-23 12:44:43-08:00,VT,Eastern Time (US & Canada)
4405,568824366928039936,neutral,1.0,,,Delta,,bekahthornhill,,0,@JetBlue why don't you fly to #nashville? :(,,2015-02-20 09:27:51-08:00,"Austin, TX/NY, NY",Central Time (US & Canada)
5937,568540062306181120,negative,1.0,Flight Booking Problems,0.6702,US Airways,,Andreas_Hirsch,,0,@USAirways i tried it but doesnt help very much and Reservation seems to be overwhelmed with some issues,,2015-02-19 14:38:08-08:00,GERMANY,Greenland
5884,568753556498604032,neutral,1.0,,,US Airways,,jessergauvin,,0,@USAirways can you help me reroute my trip?,,2015-02-20 04:46:29-08:00,Nantucket,Quito
7266,569720084484083712,positive,1.0,,,American,,itsNGHTMRE,,0,@AmericanAir 🙏 in my hotel now. Thank you!,,2015-02-22 20:47:07-08:00,"Los Angeles, CA",Pacific Time (US & Canada)
3973,569704005250777090,negative,1.0,Bad Flight,0.6915,Delta,,AdamJBerry,,0,@JetBlue @amybruni @DIRECTTV No Oscars on Direct TV on this flight. We were so looking forward to it. We were devastated. :-/,,2015-02-22 19:43:14-08:00,Provincetown Ma,Eastern Time (US & Canada)
673,569886575720574976,negative,0.6821,Customer Service Issue,0.6821,United,,micheleliston,,0,@united should have been able to get seat assign without paying $174 more - cust sec should have done that for me,,2015-02-23 07:48:42-08:00,"Ashburn, VA",Eastern Time (US & Canada)
121,569261347688607744,positive,1.0,,,Virgin America,,carabubes,,0,"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)",,2015-02-21 14:24:16-08:00,"Los Angeles, California",Central Time (US & Canada)
5676,569229557468827648,negative,1.0,Customer Service Issue,1.0,US Airways,,beekaytulsa,,0,@USAirways it's been three weeks since I was specifically told I would get a call back from your folks in AZ- should I keep being patient?,,2015-02-21 12:17:56-08:00,Flyover country,Central Time (US & Canada)
4993,570226104839090176,negative,1.0,Late Flight,0.3516,US Airways,,MandiBPro,,0,@USAirways There is no reFlight Booking Problems the event I'm flying to attend. Waiting for jetway driver??? STILL ON TARMAC???,,2015-02-24 06:17:52-08:00,"Jacksonville, FL",Eastern Time (US & Canada)
6969,569950766485540864,negative,1.0,Lost Luggage,0.6974,American,,Six_Pack_Pollak,,0,@AmericanAir thanks for telling me my flight got Cancelled Flightled when it wasn't. Now I have a missing luggage because of you. Thanks fam!,"[32.90425138, -97.02805207]",2015-02-23 12:03:46-08:00,Houston,Central Time (US & Canada)
2890,569100490027499520,negative,1.0,Cancelled Flight,1.0,Southwest,,gabb_b,,0,@SouthwestAir jumped the gun a little Cancelled Flighting our flights? No other airline is Cancelled Flighting out of Louisville. You're ruining my vacation.,,2015-02-21 03:45:04-08:00,"Louisville, KY ",Mountain Time (US & Canada)
3483,567830505414103040,negative,0.6693,Flight Booking Problems,0.3496,Southwest,,ursonate,,0,"@SouthwestAir bos to msp, msp to aus, aus to bos. Site doesn't seem to display fields for the middle trip when I add the 3rd.",,2015-02-17 15:38:36-08:00,"boston, ma",Eastern Time (US & Canada)
3762,569996141753802752,neutral,1.0,,,Delta,,BritishAirNews,,0,"@JetBlue CEO's challenge: appease passengers, Wall Street - The Columbian http://t.co/pG96ys9aSW",,2015-02-23 15:04:04-08:00,UK,Sydney
2963,568905259550056448,negative,1.0,Cancelled Flight,0.6985,Southwest,,jimsmithrn,,0,"@SouthwestAir Totally sucks that my flights were weathered out of existence, but Stacy in Tucson helped with an overnight in Vegas!","[35.9807446, -115.0846183]",2015-02-20 14:49:18-08:00,Kentucky,Eastern Time (US & Canada)
2346,570301794850639872,negative,1.0,longlines,0.3438,Southwest,,tedm23,,0,@SouthwestAir poor performance all around! Paid for Express checkin weeks ago and can't even leverage it #bullshit,,2015-02-24 11:18:38-08:00,"Burlington, Ma",Central Time (US & Canada)
5719,569129625592274944,negative,1.0,Damaged Luggage,0.6859999999999999,US Airways,,CraigHall19701,,0,@USAirways baggage drop at phl b/c is incredibly backed up... unacceptable service,,2015-02-21 05:40:51-08:00,Delaware,Eastern Time (US & Canada)
4199,569318653792948226,negative,1.0,Late Flight,0.6809,Delta,,AndrewATZ,,0,"@JetBlue Flight 2202 out of JFK, 2 &amp; 1/2 hr delay. I could get over it if it was just  weather reLate Flightd, but considering it's not - Come on",,2015-02-21 18:11:59-08:00,"New York City, NY",Quito
838,569667082499035137,negative,1.0,Customer Service Issue,1.0,United,,Jodieepps,,0,@united customer service sucks!  They hang up after waiting an hour and talking for 5 minutes.,,2015-02-22 17:16:31-08:00,Michigan,Quito
7302,569701189199089664,negative,1.0,Customer Service Issue,1.0,American,,JesseSheriff,,0,@AmericanAir My ex-boyfriend picks up my calls more than you do! #Cancelled Flightedflight #nocustomerservice #americanairlines #FAIL,,2015-02-22 19:32:02-08:00,West Palm Beach,Eastern Time (US & Canada)
5404,569584057270575105,neutral,0.6593,,,US Airways,,airliners2,,28,@USAirways with this livery back in the day. http://t.co/EEqWVAMmiy,,2015-02-22 11:46:36-08:00,Airports Around The World,Eastern Time (US & Canada)
1753,568536646963970048,neutral,1.0,,,United,,johndgraham,,0,@united  I'm on standby for my connecting flight. 1st on the list.  NudgeNudge I'm told there are four slots open. Save it for me.  Please.,,2015-02-19 14:24:34-08:00,"Madison, wi",Central Time (US & Canada)
7087,569888954863890433,neutral,1.0,,,American,,melisaray,,0,@AmericanAir can you tell me why flight 1542 from dfw to phl was Cancelled Flightled for tomorrow?,,2015-02-23 07:58:09-08:00,"Austin, TX",Central Time (US & Canada)
6821,570026470741032961,negative,0.642,Late Flight,0.642,American,,cubexg,,0,"@AmericanAir Just took off. Sitting with someone who is scheduled on Buenos ares out of JFK,not sre if he will make it. R thy holding plane?",,2015-02-23 17:04:35-08:00,New York,Eastern Time (US & Canada)
4416,568807823187976193,positive,0.6667,,,Delta,,SMHillman,,0,@JetBlue I'm #MakingLoveOutofNothingAtAll on my #brandloveaffair to #LAX https://t.co/kdHRUF54sW,,2015-02-20 08:22:07-08:00,"New York, NY",Eastern Time (US & Canada)
1732,568564006329434113,positive,0.6715,,0.0,United,,PaulBEsteves,,0,@united thanks for the help. Wish the phone reps could be so accomidating,,2015-02-19 16:13:17-08:00,Brooklyn,Eastern Time (US & Canada)
3825,569947823426441216,neutral,1.0,,,Delta,,JohnnyAime,,0,Peak #Caucasity RT @JetBlue Our fleet's on fleek. http://t.co/cSNRPVY9b9,,2015-02-23 11:52:04-08:00,"Queens, New York",Atlantic Time (Canada)
4873,567796029056385024,positive,0.6667,,,Delta,,janj757,,0,@JetBlue thanks!,,2015-02-17 13:21:37-08:00,North Carolina,Eastern Time (US & Canada)
3018,568853687130390528,neutral,0.6596,,0.0,Southwest,,djknuckles,,0,@SouthwestAir I have the DM from @SouthwestVerity if needed,,2015-02-20 11:24:22-08:00,WORLDWIDE,Pacific Time (US & Canada)
1129,569336402401472512,negative,0.6988,Cancelled Flight,0.3695,United,,Colettod,,0,@united Wife and I have two new destinations and I'm stuck in DC until Monday with no bags,,2015-02-21 19:22:30-08:00,"Ottawa, ON",Eastern Time (US & Canada)
61,569873669700358144,positive,0.6823,,0.0,Virgin America,,flyfromWAS,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",,2015-02-23 06:57:25-08:00,"Washington, DC",Eastern Time (US & Canada)
2210,567823510245236739,negative,1.0,Customer Service Issue,1.0,United,,karalynnholt,,1,@united we showed up to our flight several hours early. Tried to call &amp; was on hold 15 min b/f call disconnected.,,2015-02-17 15:10:49-08:00,San Antonio,Central Time (US & Canada)
2114,567985128422690816,negative,0.6915,Customer Service Issue,0.6915,United,,urno12,,0,@united &lt;&lt;&lt;&lt;&lt;&lt;-------- do not reply to emails?,,2015-02-18 01:53:01-08:00,bonkers in Yonkers,New Delhi
2446,570050691173101568,neutral,1.0,,,Southwest,,maximusKP,,0,@SouthwestAir if I am enrolled in the ATL companion pass offer and booked 3 flights already before May 17 when can I start using the pass?,,2015-02-23 18:40:50-08:00,ATL,Eastern Time (US & Canada)
2082,568068509613178880,negative,1.0,Bad Flight,1.0,United,,bonvoyagedenise,,0,"@united thanks for reaching out. The seat was hard, not enough cushion. OK for short flight. BTW, UA6465 flight and crew were great!",,2015-02-18 07:24:21-08:00,"Salt Lake City, Utah",Mountain Time (US & Canada)
6961,569952945028108288,negative,1.0,Bad Flight,0.3855,American,,DanJWillis,,0,"@AmericanAir hey ho its not me losing any money (only you) just next make sure you stick to the ""flyers right's booklet""",,2015-02-23 12:12:25-08:00,my top secret gaming facility,Casablanca
2172,567862586374529026,negative,1.0,Late Flight,0.3612,United,,Tgoody9,,0,@united haha that's fine. Still won't fly @united ever again. Seems like you guys have more problems than anyone else.,"[40.69429232, -74.17208436]",2015-02-17 17:46:05-08:00,"Sarasota, Florida ",Central Time (US & Canada)
5608,569336493224955904,negative,1.0,Late Flight,1.0,US Airways,,daroberts1,,0,"@USAirways delayed in philly since 130, sitting onTarmac since 8pm flight 1881 plz contact donaldaroberts1@gmail.com","[39.87414053, -75.25236332]",2015-02-21 19:22:52-08:00,"Virginia Beach, Virginia",Eastern Time (US & Canada)
