,tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone
1371,568998609590419456,neutral,0.669,,0.0,United,,PeterDawoud,,0,@united you know what would be awesome? Providing us with complimentary entertainment on your flights. Especially those longer than 6 hours.,,2015-02-20 21:00:14-08:00,Redmond WA ,Pacific Time (US & Canada)
1866,568342540837105664,neutral,1.0,,,United,,patrick_maness,,0,@united next day,,2015-02-19 01:33:15-08:00,Rhode Island,Eastern Time (US & Canada)
21,570076792993611776,positive,1.0,,,Virgin America,,NorthTxHomeTeam,,0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,"[33.2145038, -96.9321504]",2015-02-23 20:24:33-08:00,Texas,Central Time (US & Canada)
6950,569961398551379968,negative,0.6751,Flight Booking Problems,0.3649,American,,AnnaIntheCity,,0,@AmericanAir We don't mind the fee! We were told we can't change name on ticket at all.,,2015-02-23 12:46:01-08:00,Northern Virginia,Eastern Time (US & Canada)
6967,569951222515539968,neutral,1.0,,,American,,thomas199023,,0,@AmericanAir could you check if there is SVU space on AA199 MXP-JFK Feb 28th? Thanks,,2015-02-23 12:05:35-08:00,Netherlands,Amsterdam
7382,569680398185312256,positive,0.6825,,0.0,American,,bharris77,,0,@AmericanAir I'm booked for Tuesday night. 60 degrees in Alabama right now. I'm good. Stay warm and safe.,,2015-02-22 18:09:25-08:00,"Frisco, Texas",Central Time (US & Canada)
3716,570066245195829249,negative,1.0,Late Flight,1.0,Delta,,djcheros,,0,@JetBlue you delay all my flights. Then you redirect my gate. Then you tell me had we stuck with the original gate we would have 1/3,,2015-02-23 19:42:38-08:00,"Portland, Maine",Eastern Time (US & Canada)
2336,567614049425555457,negative,1.0,Customer Service Issue,0.3545,United,,JustOGG,,0,"@united, link to current status of flights/airports? Fly BWI-EWR-MCO this morning yet can't yet tell what any problems are except see snow.",,2015-02-17 01:18:29-08:00,Tweets = My Opinion,Eastern Time (US & Canada)
7247,569737397350461440,negative,1.0,Lost Luggage,1.0,American,,LeslieWolfson,,0,@AmericanAir why won't u deliver my luggage? Almost two days and holding on the phone for over 4 hrs. Help!,,2015-02-22 21:55:55-08:00,Miami Beach,Central Time (US & Canada)
297,567806905617281024,neutral,1.0,,,Virgin America,,TheDCD,,0,@VirginAmerica On all your flights?,"[0.0, 0.0]",2015-02-17 14:04:50-08:00,On a bar floor in Denver.,Mountain Time (US & Canada)
4622,568269372151734273,negative,1.0,Flight Attendant Complaints,0.6943,Delta,,heyheyman,,0,@JetBlue Every crew member I dealt with in Orlando was incredibly rude. I'm actually pretty disgusted with JetBlue right now.,,2015-02-18 20:42:30-08:00,"Boston, MA",Eastern Time (US & Canada)
1003,569526800767983616,negative,1.0,Cancelled Flight,0.6871,United,,AdamDonkus,,0,@united you really need a better system for handling Cancelled Flightled flights http://t.co/3uBCoAsyws,,2015-02-22 07:59:05-08:00,"Bechtelsville, PA",Eastern Time (US & Canada)
5371,569605710314668035,negative,1.0,Customer Service Issue,1.0,US Airways,,vasisht,,0,"@USAirways is it policy to tell customers ""We can't help you?"" I'm sorry but this is unacceptable",,2015-02-22 13:12:38-08:00,A galaxy far far away,Eastern Time (US & Canada)
2040,568118452965085184,positive,1.0,,,United,,Thejetsetjulie,,0,@united I am blown away by stellar #custserv !! Thank you &lt;3 http://t.co/JOrEScfb4x,,2015-02-18 10:42:48-08:00,Instagram @thejetsetjulie,Quito
800,569706638283833344,negative,1.0,Late Flight,0.3552,United,,rebeccafrack,,1,"@united really needs to get its act together. Really disappointed in our change of flight, delayed flights, etc.",,2015-02-22 19:53:41-08:00,"Monkton, Maryland ",Eastern Time (US & Canada)
279,568059129601724416,positive,1.0,,,Virgin America,,dsg0110,,0,"@VirginAmerica love it, taking @SouthwestAir on in their backyard! Consumers win when biz competes.",,2015-02-18 06:47:05-08:00,"San Diego, CA",Pacific Time (US & Canada)
3486,567829689600892928,neutral,1.0,,,Southwest,,jjenreich,,0,@SouthwestAir how are flights looking for tomorrow morning from #Nashville (BNA) to Fort Lauderdale (FLL) ?!,,2015-02-17 15:35:22-08:00,Fort Lauderdale,Central Time (US & Canada)
895,569631350304731136,neutral,0.6694,,,United,,wfmayo,,0,@united 4 open seats in 1st class on UA 2065. Way to honor your upgrade policy for freq flyers and/or honor an employee with an upgrade.,,2015-02-22 14:54:31-08:00,"Vienna, VA",Eastern Time (US & Canada)
2094,568052677881565185,negative,0.6222,Customer Service Issue,0.6222,United,,WestlakeSarah,,0,@united I need to speak with a supervisor or someone who is #willing to help me use a credit I have ASAP.  #letsworktogether,,2015-02-18 06:21:26-08:00,"New York, NY",Quito
961,569570819757752320,negative,1.0,Customer Service Issue,1.0,United,,aDeniseHuxtable,,0,@united check in and it's still saying I haven't paid. I've called back twice was on hold for 30 minutes then they answered and hung up. I,,2015-02-22 10:54:00-08:00,Nueva York,Quito
4146,569510849846611968,positive,1.0,,,Delta,,SMHillman,,0,@jetblue always #mosaicmecrazy #sunrise #bestairline #nofilterneeded &amp; how can you not love #FlyFi… http://t.co/NY6CS7jRuV,,2015-02-22 06:55:42-08:00,"New York, NY",Eastern Time (US & Canada)
2958,568913412505251840,negative,1.0,Bad Flight,0.67,Southwest,,bjawalka,,0,@SouthwestAir http://t.co/tTXRSyNLxr doesn't work on my flight. Just fyi.,,2015-02-20 15:21:42-08:00,"San Antonio, TX",Central Time (US & Canada)
5714,569136628301729792,negative,1.0,Customer Service Issue,0.701,US Airways,,NYC_Allie,,0,@USAirways or is anyone even responding to social media? AWFUL.,,2015-02-21 06:08:40-08:00,NYC,Eastern Time (US & Canada)
3846,569940579221504001,neutral,1.0,,,Delta,,SupaDR3,,0,Really ? 😑“@JetBlue: Our fleet's on fleek. http://t.co/V5QWkYXSW6”,,2015-02-23 11:23:17-08:00,Land of the ✌️free✌️,Eastern Time (US & Canada)
1915,568249132323770368,negative,1.0,Lost Luggage,1.0,United,,vina_love,,0,@united this is despicable I spoke to  many diff people &amp; everyone is telling me something different I have a claim no. I need my bag now,,2015-02-18 19:22:05-08:00,ny,Quito
704,569863836615864320,negative,1.0,Flight Attendant Complaints,0.6517,United,,artistanxiety,,0,"@united yes, but it's not looking. The ticket agent at out terminal dismissed us and we missed a chance at a Miami flight then to DR",,2015-02-23 06:18:20-08:00,Punk is the preacher.,Arizona
228,568496820604821505,negative,0.654,Flight Booking Problems,0.3438,Virgin America,,taygarrett,,0,"@VirginAmerica what happened to direct flights from SFO-FLL? Looking in May, only see connecting #help #dontdothistome",,2015-02-19 11:46:18-08:00,san francisco,Eastern Time (US & Canada)
3621,567723431513575424,negative,1.0,Customer Service Issue,0.6509,Southwest,,faithfabulous,,0,@SouthwestAir tried online and told I must call b/c of modifications to my reservation. Been on hold for almost 2 hours.,,2015-02-17 08:33:08-08:00,District of Corruption,Quito
2571,569731970562961408,negative,1.0,Customer Service Issue,0.6737,Southwest,,intel_jim,,0,@SouthwestAir You completely let me down tonight. Your gate agents' ambivalence is just too much. How sad for you (&amp; me.),,2015-02-22 21:34:21-08:00,"Phoenix, Arizona USA",Arizona
3326,568141111601926145,neutral,1.0,,,Southwest,,girlnamednour,,0,@SouthwestAir did you pick the winners for the #DestinationDragons ?? #87yearsLate Flightr #maybeijustlost #whyyounoloveme,,2015-02-18 12:12:51-08:00,"Hockeytown, USA",Eastern Time (US & Canada)
3655,570280776849346561,negative,1.0,Customer Service Issue,0.6629999999999999,Delta,,YvonneTrimble,,0,@JetBlue luggage fees? won't b flying JB again! at least #AA gives platinum pass 2 bags! tired of overchging bg herded like cattle2slaughter,,2015-02-24 09:55:07-08:00,"Port au Prince, Haiti",Eastern Time (US & Canada)
1345,569035174328934401,negative,1.0,Customer Service Issue,0.6437,United,,2cJustice4all,,0,@united @danahajek : United's CEO has decided to outsource and or push out more and more of their skilled and loyal employees..lack of staff,,2015-02-20 23:25:32-08:00,Chicago Illinois Crime.Inc,Central Time (US & Canada)
4404,568826055324098562,positive,0.6701,,,Delta,,anku,,0,@JetBlue sent :-) curious to see what kind of comp we get.,,2015-02-20 09:34:34-08:00,San Francisco,Pacific Time (US & Canada)
61,569873669700358144,positive,0.6823,,0.0,Virgin America,,flyfromWAS,,0,"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare",,2015-02-23 06:57:25-08:00,"Washington, DC",Eastern Time (US & Canada)
6272,567776364351074304,neutral,0.6906,,0.0,US Airways,,htmella,,0,@USAirways please please please let my plane back to the gate so I can get off as I will miss connection due to CLT closing. 2034,,2015-02-17 12:03:28-08:00,"Washington, DC",Quito
5504,569507677501595649,neutral,1.0,,,US Airways,,nanceebing,,0,@USAirways but need to confirm please help,,2015-02-22 06:43:05-08:00,south beach/ LA / NC,Eastern Time (US & Canada)
247,568406048777900032,positive,1.0,,,Virgin America,,MarcSM,,0,@VirginAmerica had me at their safety video . . . http://t.co/CqMm7nuE9m  LOVED my first cross country flight. #livewelltraveled #sytycd,,2015-02-19 05:45:37-08:00,"East Village, New York City",Eastern Time (US & Canada)
1416,568955339607019521,negative,1.0,Can't Tell,0.3499,United,,leigh_emery,,1,@united I'm Cancelled Flighting my #mileageplus card and I will NEVER do business with you again. You clearly don't care about your customers.,,2015-02-20 18:08:18-08:00,"Hoboken, NJ",Eastern Time (US & Canada)
3696,570184343857045504,negative,1.0,Customer Service Issue,0.6383,Delta,,skenniston,,0,@JetBlue service getting worse and worse. Plane can't fly waiting on a 2nd aircraft. So much for planning.,"[42.3658858, -71.01423374]",2015-02-24 03:31:55-08:00,"Boston, MA",Eastern Time (US & Canada)
6081,568160713170149376,positive,0.6705,,0.0,US Airways,,Jeffrey_Hurley,,0,@USAirways thanks for giving away my seat. Another fine job! http://t.co/r7ibqr4CYd,"[35.22123472, -80.93287633]",2015-02-18 13:30:44-08:00,"Winston Salem, NC",Eastern Time (US & Canada)
6098,568124226135130112,positive,0.6556,,,US Airways,,AndrwM,,0,.@USAirways thanks!,,2015-02-18 11:05:45-08:00,"Greenville, SC",Eastern Time (US & Canada)
1123,569341769114128386,negative,1.0,Flight Attendant Complaints,0.6666,United,,suntoshi,,0,@united the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and I see 2 right there. #unitedlies,,2015-02-21 19:43:50-08:00,"Bedford, Nh",Eastern Time (US & Canada)
667,569895406869483520,negative,0.6589,Customer Service Issue,0.6589,United,,kristen_e_short,,0,"@united JH, thanks so much for reaching out. I was able to get assistance after waiting for 70 minutes.",,2015-02-23 08:23:47-08:00,Chicago,Central Time (US & Canada)
2954,568915699290284032,negative,1.0,Late Flight,1.0,Southwest,,CVDCole,,0,"@SouthwestAir WTF, my flight was delayed and then I go to board and my boarding pass has disappeared from the Southwest app!",,2015-02-20 15:30:47-08:00,"Dallas, Texas",Central Time (US & Canada)
7042,569913796875161600,neutral,1.0,,,American,,norwaywithlove,,0,@AmericanAir would it be possible to change my flight on your website? Many thanks,"[10.42269832, -75.54540857]",2015-02-23 09:36:52-08:00,Where the wind takes me ,Greenland
7360,569686372124102656,neutral,1.0,,,American,,FOHeming,,0,@AmericanAir Still looking as we speak.,,2015-02-22 18:33:10-08:00,Left hand seat in flightdeck,London
3362,568092479452549120,negative,0.6939,longlines,0.3469,Southwest,,MFarrell21,,0,@SouthwestAir how does your pre boarding process work? Basically anyone who doesn't want to wait their turn can get a slip?,,2015-02-18 08:59:36-08:00,"Cleveland, Ohio",Eastern Time (US & Canada)
3921,569911600934752256,positive,0.3493,,0.0,Delta,,Dweisblum,,0,"alright @JetBlue.... done! alternatively, if you'd like to charter a private jet for me to PITT i will gladly accept :)",,2015-02-23 09:28:08-08:00,NEW YORK,Eastern Time (US & Canada)
6512,570269280748441601,negative,1.0,Flight Booking Problems,0.6458,American,,nataliewsj,,0,@AmericanAir any idea on what the wait time is for refunds from @USAirways? I was told a few days over the phone - but it's well past that.,,2015-02-24 09:09:26-08:00,"Washington, DC",Pacific Time (US & Canada)
4854,567810573002620928,neutral,0.6612,,,Delta,,vincenzolandino,,0,"seriously, I want to work on the JetBlue social team RT @JetBlue: @vincenzolandino http://t.co/eiGaJyzcW2",,2015-02-17 14:19:24-08:00,NYC | CT,Eastern Time (US & Canada)
1696,568611300609118208,negative,1.0,Customer Service Issue,0.6705,United,,SeanLansing,,0,.@united board customers onto a plane with no pilot? The only thing that expedited was my time in line to book a new flight. Come on now.,,2015-02-19 19:21:13-08:00,"Arlington, VA",Central Time (US & Canada)
7430,569669381128654848,negative,1.0,Customer Service Issue,1.0,American,,otisday,,0,@AmericanAir @cjdjpdx not a valid response in 2015 for a multinational corp whose profits are measured in billions. Stop understaffing!,,2015-02-22 17:25:39-08:00,Pekin,Eastern Time (US & Canada)
4181,569355673068118016,neutral,1.0,,,Delta,,EtihadNews,,0,@JetBlue Airways to continue 'various commercial relationships' with #Lufthansa ... - @CAPA_Aviation http://t.co/vGqOihtRkH,,2015-02-21 20:39:05-08:00,Global,Sydney
7658,569609590171676675,negative,1.0,Lost Luggage,1.0,American,,TheLoveBite,,0,@AmericanAir an hour at baggage carousel and still no luggage?? Nail in the coffin.,,2015-02-22 13:28:03-08:00,"Los Angeles, CA",Pacific Time (US & Canada)
4280,569143699017371649,neutral,0.6637,,0.0,Delta,,RoyalVestige,,0,@JetBlue When are you guys doing a dualcam with @RedReserve ?,,2015-02-21 06:36:46-08:00,Sub to me! ,Solomon Is.
6103,568116895305617409,negative,0.6511,Lost Luggage,0.6511,US Airways,,seungminkim,,0,"@USAirways I hope so, too. Thank you for your help. She traveled halfway across the globe and just wants her suitcase.",,2015-02-18 10:36:37-08:00,"Washington, D.C.",Quito
1504,568882601261273089,negative,1.0,Customer Service Issue,0.648,United,,andreamvdlg,,0,"@united its my one and only checked bag, which is checked to edinburgh, however i am being charged randomly from dc to newark",,2015-02-20 13:19:16-08:00,Edinbrah ,Eastern Time (US & Canada)
2574,569716065741045760,negative,1.0,Flight Attendant Complaints,0.6568,Southwest,,wittmania,,0,@SouthwestAir broke the stroller my wife and baby gate checked. They told her it's not their problem. Calling the A List Preferred line now.,,2015-02-22 20:31:09-08:00,"Lincoln, NE",Central Time (US & Canada)
6303,567735186881003520,neutral,1.0,,,US Airways,,portugrad,,0,@USAirways How can I change without penalty and not have to call customer service,,2015-02-17 09:19:51-08:00,Chicagoland Area,Central Time (US & Canada)
88,569594386066984960,negative,1.0,Damaged Luggage,1.0,Virgin America,,khartline,,0,.@VirginAmerica does that mean you don't have a policy for destroyed luggage?,,2015-02-22 12:27:38-08:00,Las Vegas,Pacific Time (US & Canada)
7058,569905765420441600,negative,0.6488,Customer Service Issue,0.3346,American,,MackShultz,,0,@AmericanAir I DM'd you. Anything you can do?,,2015-02-23 09:04:57-08:00,Seattle,Hawaii
5884,568753556498604032,neutral,1.0,,,US Airways,,jessergauvin,,0,@USAirways can you help me reroute my trip?,,2015-02-20 04:46:29-08:00,Nantucket,Quito
2914,568976322032087041,negative,1.0,Late Flight,1.0,Southwest,,chresko,,0,"@SouthwestAir sucks. Passengers leaving the plane to make room luggage, checking luggage and getting back on. Delayed flights to same city.",,2015-02-20 19:31:40-08:00,"San Francisco, CA",Pacific Time (US & Canada)
5818,568834249303785472,neutral,0.6887,,0.0,US Airways,,StephCaicedo,,0,@USAirways oh they saw it and said nothing.,,2015-02-20 10:07:08-08:00,Sunshine State,Quito
5934,568544549536198656,neutral,1.0,,,US Airways,,hobbes31,,0,"@USAirways http://t.co/AXRYeIWzh0, vuelo24.es, vuelos24.es sell too cheap MAD-NYC with USAirways. Are they trusted webs or is it a scam?",,2015-02-19 14:55:58-08:00,"Madrid, España",Madrid
3643,570304873620746240,neutral,0.6939,,,Delta,,kbosspotter,,0,@JetBlue check DM please :),,2015-02-24 11:30:52-08:00,Logan International Airport,Atlantic Time (Canada)
2875,569158165176164353,negative,1.0,Late Flight,1.0,Southwest,,bsjuts,,0,"@SouthwestAir where are our pilots? Plane is here flight says it's still on time, but we should of been off the ground 15 minutes ago.",,2015-02-21 07:34:15-08:00,Nebraska ,Central Time (US & Canada)
4967,570262977947013120,neutral,1.0,,,US Airways,,itsandrewhorn,,0,@USAirways can I check bags through to my final destination even though I bought separate tickets from IAD to PHL  and PHL to Israel?,,2015-02-24 08:44:23-08:00,Brooklyn,Eastern Time (US & Canada)
6712,570102866754592768,negative,1.0,Cancelled Flight,1.0,American,,HeatPrincess305,,0,@AmericanAir  it's not cool that my flight was Cancelled Flightled after sitting on the plane for over an hour. 👎😡✈️ #notahappycustomer #leavingtomm,"[42.01578804, -87.68332344]",2015-02-23 22:08:10-08:00,MIA || CHI || NYC,Eastern Time (US & Canada)
7502,569655339135725568,neutral,1.0,,,American,,julesecruz,,0,"@AmericanAir Hey, so... I think I left my wallet on you. Can I have it back, please?",,2015-02-22 16:29:51-08:00,"West Covina, CA",Pacific Time (US & Canada)
2750,569301244948324353,positive,0.6622,,,Southwest,,scpetrel,,0,@SouthwestAir I'll do that. Can't DM until you follow me. Thanks!,,2015-02-21 17:02:48-08:00,"Charleston, SC",Eastern Time (US & Canada)
4111,569541545029804034,negative,1.0,Late Flight,0.6503,Delta,,Amagrino,,0,"@JetBlue waiting at HPN on plane more than an hour since landing b/c of no gate, please get us off this plane!",,2015-02-22 08:57:40-08:00,"New York, NY",Eastern Time (US & Canada)
7671,569606248095576064,negative,1.0,Flight Attendant Complaints,0.3648,American,,jddowsett,,0,@AmericanAir but have been yet to receive assistance from one of your agents in securing a new connection. Many will now miss work tomorrow.,,2015-02-22 13:14:46-08:00,"PA, NY & HI",Quito
2703,569373258010660864,negative,1.0,Customer Service Issue,0.6669,Southwest,,amy__kristen,,0,@SouthwestAir want to explain why I was on hold for 2+ hrs tonight trying to reach customer service only to learn they're only there Mon-Fr?,,2015-02-21 21:48:57-08:00,SoCal,Arizona
2000,568166403246850050,negative,1.0,Customer Service Issue,0.6639,United,,JTMacrizzle,,0,"I will, if you can show me where this new program is beneficial to your longstanding loyal consumers... @united","[0.0, 0.0]",2015-02-18 13:53:21-08:00,"Arlington, VA",Quito
1041,569496828376322048,negative,1.0,Cancelled Flight,0.6497,United,,mahrruk,,0,"@united I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day",,2015-02-22 05:59:59-08:00,Rochester,Eastern Time (US & Canada)
5981,568480476803035137,negative,1.0,longlines,0.6468,US Airways,,nickpasculli,,0,@USAirways some people in line have been waiting 55 minutes for a customer service representative,,2015-02-19 10:41:22-08:00,"Monterey County, CA",Arizona
1757,568532050979893249,negative,0.6877,Flight Attendant Complaints,0.3576,United,,adownie,,0,@united - I really down think downgrading the booze/food selections at the club is a good way to go.  How about you look @aircanada?,,2015-02-19 14:06:18-08:00,Somewhere west of Chicago,Central Time (US & Canada)
1270,569213441694568448,neutral,0.365,,0.0,United,,jsmithers,,0,@united I take it as a compliment that I was mistaken several times as a member of your staff on my flight... time to remove my scarf :),,2015-02-21 11:13:54-08:00,"Boston, MA",Eastern Time (US & Canada)
4672,568196150718824448,neutral,0.6809,,,Delta,,GenuineJack,,0,@JetBlue he's sch for 530 tmw on AA. would love to find him an earlier one with yall if possible. He's in FLL,,2015-02-18 15:51:33-08:00,Massachusetts,Central Time (US & Canada)
5790,568898634923843586,negative,0.6522,Customer Service Issue,0.3478,US Airways,,chrisseifert83,,0,@USAirways nothing important to do.  Why was I told to wait in the @AmericanAir line?  #patiencerunningout,,2015-02-20 14:22:58-08:00,"Stamford, Ct",Eastern Time (US & Canada)
3644,570303683872886784,negative,1.0,Flight Booking Problems,0.6921,Delta,,heyheyman,,0,"@JetBlue Hey guys, why did my last flight earn me 0 pts? http://t.co/1syWlmTZek",,2015-02-24 11:26:08-08:00,"Boston, MA",Eastern Time (US & Canada)
4345,568924327275401218,positive,0.6544,,,Delta,,JetBlueNews,,0,@JetBlue Airways Corporation (NASDAQ:JBLU) Reaches on New High Range ... - StreetWise Report http://t.co/C7tpdKqULM,,2015-02-20 16:05:04-08:00,USA,Sydney
2223,567811268900556802,negative,1.0,Bad Flight,1.0,United,,RLaPedis,,0,@United Hidden City forces me into crappy seat even though exit row is available on the first leg. Your support cannot fix. :-(,,2015-02-17 14:22:10-08:00,"San Bruno, CA",Pacific Time (US & Canada)
495,570038694817767425,negative,1.0,Lost Luggage,1.0,United,,Ted_Bray,,0,@United how do you lose a gate checked bag DEN to ORD? Direct flight. Ugh.,,2015-02-23 17:53:10-08:00,"Colorado Springs, Colorado USA",Mountain Time (US & Canada)
260,568150150289461249,neutral,0.6769,,0.0,Virgin America,,wmrrock,,0,@VirginAmerica You should still develop an app - then you will be my favorite airline.,"[0.0, 0.0]",2015-02-18 12:48:46-08:00,CT,Eastern Time (US & Canada)
1863,568352134422511616,negative,1.0,Customer Service Issue,0.351,United,,patrick_maness,,0,@united ...she could not access seat map so she said she would note the upgrade in my itinerary and to call back Late Flightr...,,2015-02-19 02:11:22-08:00,Rhode Island,Eastern Time (US & Canada)
6763,570068649295241216,neutral,1.0,,,American,,jaxyeary,,0,.@AmericanAir Hopefully it's all fixed. They've got a new aircraft for us- just waiting to board.,,2015-02-23 19:52:12-08:00,"Washington, DC via Wisconsin",Eastern Time (US & Canada)
5719,569129625592274944,negative,1.0,Damaged Luggage,0.6859999999999999,US Airways,,CraigHall19701,,0,@USAirways baggage drop at phl b/c is incredibly backed up... unacceptable service,,2015-02-21 05:40:51-08:00,Delaware,Eastern Time (US & Canada)
3566,567761790357209088,negative,1.0,Customer Service Issue,1.0,Southwest,,M_RoyceWilliams,,0,"@SouthwestAir - I have spent 87 minutes (and counting) on hold w/ you today. After first 48 minutes, I gave up. Trying again &amp; on 43rd min.",,2015-02-17 11:05:33-08:00,CT,Eastern Time (US & Canada)
2446,570050691173101568,neutral,1.0,,,Southwest,,maximusKP,,0,@SouthwestAir if I am enrolled in the ATL companion pass offer and booked 3 flights already before May 17 when can I start using the pass?,,2015-02-23 18:40:50-08:00,ATL,Eastern Time (US & Canada)
2825,569218789834821632,negative,1.0,longlines,1.0,Southwest,,Coco__Bee,,0,@SouthwestAir @ LAX is almost a mess. For some reason the express bag drop is slower than the full service line. http://t.co/ORY89eEGek,,2015-02-21 11:35:09-08:00,Bay Area,Pacific Time (US & Canada)
4062,569602645712769025,neutral,1.0,,,Delta,,AuthorMarcClark,,1,"As soon as I can, sending my son home with you Saturday. @JetBlue",,2015-02-22 13:00:28-08:00,New York City,Arizona
4512,568569739225604096,neutral,1.0,,,Delta,,JetBlueNews,,0,@JetBlue Airways Corporation (NASDAQ:JBLU) Update: @JetBlue says #Lufthansa ... - Markets Bureau http://t.co/aPY3zLSqUu,,2015-02-19 16:36:04-08:00,USA,Sydney
